,Client ID,Client tenure year,Client tenure month,Age,Gender,Number of accounts,Balance,Calls 6 months,Log-ons 6 months,Age Group,Tenure Groups
0,836976,6,73,60,U,2,45105,6,9,Adult,New
1,2304905,7,94,58,U,2,110860,6,9,Adult,New
2,1439522,5,64,32,U,2,52467,6,9,Adult,New
3,1562045,16,198,49,M,2,67454,3,6,Adult,Noob
4,5126305,12,145,33,F,2,103671,0,3,Adult,Noob
5,3727881,5,71,30,U,2,23915,0,3,Adult,New
6,272934,5,66,58,U,2,27021,2,5,Adult,New
7,388801,30,361,57,M,5,522498,1,4,Adult,Experimented
8,285619,30,369,67,M,2,299388,3,6,Senior,Experimented
9,8198645,15,189,54,F,2,382303,6,9,Adult,Noob
10,8368822,8,100,34,U,2,75578,0,3,Adult,New
11,2537139,8,99,51,U,2,135940,6,9,Adult,New
12,2208717,5,67,33,U,2,29782,6,9,Adult,New
13,2214073,16,193,62,M,3,136818,6,9,Senior,Noob
14,2368987,5,71,54,U,2,44408,2,5,Adult,New
15,2892152,4,58,36,U,2,46815,5,8,Adult,New
16,4536541,3,47,74,U,2,47804,1,4,Senior,New
17,3788589,10,122,32,M,2,30750,0,3,Adult,New
18,719792,11,136,31,F,2,111736,5,8,Adult,Noob
19,5904035,8,101,25,U,2,27848,3,6,Adult,New
20,1502049,8,100,31,U,2,28952,0,3,Adult,New
21,6590646,8,103,42,F,3,2768726,5,8,Adult,New
22,7585111,5,70,42,U,3,36621,1,4,Adult,New
23,3638336,12,152,30,M,3,54296,3,6,Adult,Noob
24,9520009,13,160,30,M,2,61062,6,9,Adult,Noob
25,1508759,6,80,58,U,2,66514,4,7,Adult,New
26,9381346,7,88,62,U,2,272252,0,3,Senior,New
27,7035604,7,86,30,U,2,28175,1,4,Adult,New
28,3055315,5,65,34,F,2,66560,1,5,Adult,New
29,3350906,5,68,55,U,2,88627,2,5,Adult,New
30,2109862,7,93,38,U,2,35917,2,5,Adult,New
31,1549737,7,94,68,U,2,35608,1,4,Senior,New
32,7474517,6,73,52,U,2,53993,4,7,Adult,New
33,6448014,7,85,57,U,2,82787,6,9,Adult,New
34,6651826,8,103,34,U,2,44696,0,3,Adult,New
35,2305285,14,168,54,M,2,132347,6,9,Adult,Noob
36,5889920,11,142,33,M,2,106249,1,4,Adult,Noob
37,3065089,19,228,63,M,2,439723,6,9,Senior,Noob
38,313570,18,223,48,F,2,75124,2,5,Adult,Noob
39,9721424,12,152,32,F,2,29667,0,3,Adult,Noob
40,3753796,25,305,66,F,2,214661,6,9,Senior,Young
41,6647577,23,286,68,F,3,86005,2,5,Senior,Young
42,6341488,23,285,65,F,2,116534,5,8,Senior,Young
43,838619,23,280,60,F,2,131309,0,3,Adult,Young
44,2000151,21,254,38,F,2,136515,6,9,Adult,Young
45,6579978,21,253,74,M,2,71192,1,4,Senior,Young
46,8475126,23,278,51,M,3,327091,3,6,Adult,Young
47,7419744,18,221,49,U,2,162233,0,3,Adult,Noob
48,9796602,18,216,46,F,2,25827,0,3,Adult,Noob
49,1329260,17,212,63,F,2,666138,5,8,Senior,Noob
50,4821014,17,204,62,M,2,45073,1,4,Senior,Noob
51,7906602,21,260,54,F,2,39725,2,5,Adult,Young
52,2671231,5,68,23,U,2,43062,1,4,Adult,New
53,9587439,5,66,26,U,2,28875,6,9,Adult,New
54,5542798,9,116,56,M,2,79888,5,8,Adult,New
55,5977906,10,130,76,F,2,82916,3,6,Senior,New
56,7928244,14,177,33,F,2,105416,6,9,Adult,Noob
57,4906392,13,159,27,F,2,52600,2,5,Adult,Noob
58,3939684,15,190,60,F,2,48166,1,4,Adult,Noob
59,3731320,7,89,39,U,2,34487,6,9,Adult,New
60,9055726,5,70,25,U,3,33261,6,9,Adult,New
61,5808972,5,66,23,U,2,29898,0,3,Adult,New
62,7414763,7,91,27,U,2,53219,6,9,Adult,New
63,1531616,10,129,60,M,2,100777,6,9,Adult,New
64,8387066,27,329,66,M,2,406190,6,9,Senior,Young
65,3402999,7,92,39,U,2,56527,0,3,Adult,New
66,8593187,14,168,56,M,3,207559,6,9,Adult,Noob
67,5908339,15,190,40,F,2,205785,5,8,Adult,Noob
68,4442018,6,82,33,U,2,65264,6,9,Adult,New
69,5727622,6,73,52,U,3,109130,4,7,Adult,New
70,3284361,12,152,31,F,2,28085,1,4,Adult,Noob
71,6666515,14,169,38,U,2,59526,2,5,Adult,Noob
72,9150149,5,66,43,U,2,104179,2,5,Adult,New
73,7176877,5,66,35,U,2,75279,2,5,Adult,New
74,410752,11,142,19,M,2,25640,2,5,Adult,Noob
75,3979917,19,239,63,M,2,374919,4,7,Senior,Noob
76,7759130,5,69,64,U,2,78278,6,9,Senior,New
77,5587497,7,91,64,U,2,410277,5,8,Senior,New
78,4264493,5,67,22,U,3,36298,6,9,Adult,New
79,9492169,4,58,42,U,2,98181,0,3,Adult,New
80,5816825,14,178,54,F,2,32873,3,6,Adult,Noob
81,9692048,11,142,38,M,2,87935,4,7,Adult,Noob
82,9250552,7,95,33,U,2,77674,2,5,Adult,New
83,1730954,5,63,36,F,2,58456,0,3,Adult,New
84,2264903,15,187,61,M,2,63368,2,5,Senior,Noob
85,7321667,7,95,39,U,2,68761,6,9,Adult,New
86,1460648,24,288,40,F,5,121700,5,8,Adult,Young
87,2942135,21,261,68,U,3,417847,6,9,Senior,Young
88,1459001,20,251,72,M,3,166623,1,4,Senior,Young
89,6398341,20,250,33,F,3,109127,6,9,Adult,Young
90,5531076,19,228,44,M,2,67727,2,5,Adult,Noob
91,3162487,8,101,40,U,2,259691,0,3,Adult,New
92,2570380,4,56,52,U,2,51670,2,5,Adult,New
93,5449775,4,56,28,U,2,46749,2,5,Adult,New
94,8415669,14,178,59,M,2,43793,0,3,Adult,Noob
95,6810931,5,60,23,U,2,45780,5,8,Adult,New
96,8096768,10,123,60,F,2,91761,0,3,Adult,New
97,6737425,15,190,59,M,2,83778,5,8,Adult,Noob
98,7949341,14,175,48,U,2,25253,0,3,Adult,Noob
99,7458635,7,94,26,U,3,158434,6,9,Adult,New
100,3322068,15,188,45,F,2,140687,6,9,Adult,Noob
101,1643775,4,59,18,U,2,25270,1,4,Adult,New
102,934609,14,169,54,F,2,136573,1,4,Adult,Noob
103,2408879,4,58,49,U,2,208004,5,8,Adult,New
104,1596507,28,336,78,F,3,175883,6,9,Senior,Young
105,8763719,12,149,40,M,3,98540,6,9,Adult,Noob
106,7702214,6,73,32,U,2,43988,6,9,Adult,New
107,200698,13,156,31,M,2,28559,2,5,Adult,Noob
108,7449147,27,330,26,F,2,215247,3,6,Adult,Young
109,2096514,14,175,59,F,2,84419,1,4,Adult,Noob
110,5474775,14,175,40,F,2,95855,0,3,Adult,Noob
111,6226205,12,155,68,F,2,45294,4,7,Senior,Noob
112,2069824,13,167,50,F,2,52157,6,9,Adult,Noob
113,7045562,7,96,33,U,3,73644,1,4,Adult,New
114,8501949,7,93,27,U,2,76834,5,8,Adult,New
115,5376149,20,242,56,M,2,858054,6,9,Adult,Young
116,148954,13,163,59,F,2,89263,3,6,Adult,Noob
117,7803610,7,91,29,U,2,66958,6,9,Adult,New
118,7772844,4,59,37,U,3,43012,0,3,Adult,New
119,4681026,6,81,57,U,2,99729,6,9,Adult,New
120,9242446,15,182,70,M,2,56986,3,6,Senior,Noob
121,1905822,11,134,28,F,2,49186,2,5,Adult,Noob
122,5586955,6,80,32,U,2,30493,0,3,Adult,New
123,6980695,4,56,74,U,2,143304,5,8,Senior,New
124,3097635,9,113,22,M,2,27215,0,3,Adult,New
125,2559930,14,172,50,F,2,26430,5,8,Adult,Noob
126,2693746,14,172,51,M,2,35206,0,3,Adult,Noob
127,9073948,7,85,58,U,2,175468,6,9,Adult,New
128,9897542,6,82,23,U,2,66806,2,5,Adult,New
129,6652996,10,120,50,F,2,48410,1,4,Adult,New
130,5601417,8,105,55,F,2,23799,0,3,Adult,New
131,4560228,6,73,53,M,2,98419,1,4,Adult,New
132,1592329,17,212,27,U,2,27189,0,3,Adult,Noob
